brand,product_name,sale_price,original_price
X, X Rocker GP Torque 2.1 Black with Red Stripe Gaming Chair, NOT ON SALE, $549
X, X Rocker Torque 2.1 Gaming Chair (Red), NOT ON SALE, $549
Official, Official Super Mario™ X Rocker Video Rocker (Bowser), NOT ON SALE, $139
Anda, Anda Seat Black Widow Edition Gaming Chair, NOT ON SALE, $599
Anda, Anda Seat Black Panther Edition Gaming Chair, NOT ON SALE, $599
Next, Next Level Racing Elite Gaming Chair (Suede), NOT ON SALE, $699
Next, Next Level Racing Elite Gaming Chair (Leather), NOT ON SALE, $699
ONEX, ONEX STC Alcantara L Series Gaming Chair (Black/Red), NOT ON SALE, $399
ONEX, ONEX STC Alcantara L Series Gaming Chair (Black/Blue), NOT ON SALE, $399
ONEX, ONEX STC Alcantara L Series Gaming Chair (Black), NOT ON SALE, $399
ONEX, ONEX STC Elegant XL Series Gaming Chair (Pink), NOT ON SALE, $499
ONEX, ONEX STC Elegant XL Series Gaming Chair (Graphite), NOT ON SALE, $499
ONEX, ONEX STC Elegant XL Series Gaming Chair (Cowboy), NOT ON SALE, $499
ONEX, ONEX STC Snug L Series Gaming Chair (Pink0, NOT ON SALE, $399
ONEX, ONEX STC Snug L Series Gaming Chair (Ivory), NOT ON SALE, $399
ONEX, ONEX STC Snug L Series Gaming Chair (Graphite), NOT ON SALE, $399
ONEX, ONEX STC Snug L Series Gaming Chair (Cowboy), NOT ON SALE, $399
Razer, Razer Iskur X Ergonomic Gaming Chair (Hello Kitty and Friends Edition), NOT ON SALE, $799
Razer, Razer Lumbar Cushion - Lumbar Support for Gaming Chairs - Hello Kitty and Friends Edition, NOT ON SALE, $99
Coolermaster, Coolermaster Caliber R2C Gaming Chair with Cool-In Fabric Technology Black / Purple, NOT ON SALE, $499
Razer, Razer Iskur Dark Gray Fabric Gaming Chair With Built In Lumbar Support, NOT ON SALE, $799
Noblechairs, Noblechairs ICON Gaming Chair (Black Edition), NOT ON SALE, $749
Noblechairs, Noblechairs Memory Foam Pillow Set - Mercedes-AMG Petronas Formula One Team Edition, NOT ON SALE, $99
Samsung, Samsung Q60B 75" QLED 4K Smart TV [2022], $1995, $2495
Samsung, Samsung Galaxy S22 Ultra 5G 128GB (Phantom Black), $1599, $1849
Segway, Segway Ninebot KickScooter MAX G30, $1099, $1299
Nintendo, Nintendo Switch Console Neon, $399, $449
HP, HP Pavilion x360 14" HD 2-in-1 Laptop (128GB) [Intel i3], $748, $1298
Dell, Dell G15 15.6" FHD 120Hz Gaming Laptop (Intel i5) [GTX 1650], $849, $1299
Asus, Asus VivoBook 15.6" FHD Thin & Light Laptop (256GB) [Intel i5], $699, $1099
